,contact-lenses,,,pasture,,,squash-stored,,,squash-unstored,,,tae,,,newthyroid,,,balance-scale,,,SWD,,,car,,,bondrate,,,toy,,,eucalyptus,,,LEV,,,automobile,,,winequality-red,,,ESL,,,ERA
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.333333,0.500000,10.918212,0.333333,0.333333,16.504096,0.384615,0.615385,16.396880,0.230769,0.230769,13.399242,0.447368,0.447368,12.935157,0.018519,0.037037,21.164312,0.057325,0.057325,19.268522,0.404000,0.416000,39.461397,0.002315,0.004630,101.966538,0.400000,0.600000,12.739609,0.013333,0.053333,12.698742,0.331522,0.364130,59.149309,0.376000,0.408000,32.187050,0.230769,0.326923,16.177350,0.395000,0.427500,101.481261,0.303279,0.319672,16.357686,0.772000,1.420000,37.505895,
0.333333,0.666667,10.987421,0.222222,0.111111,18.310209,0.230769,0.230769,16.014164,0.230769,0.230769,12.872473,0.394737,0.552632,14.612383,0.000000,0.000000,20.904250,0.025478,0.025478,19.015844,0.384000,0.404000,32.965259,0.002315,0.006944,101.290237,0.400000,0.466667,12.839162,0.106667,0.106667,15.816165,0.380435,0.413043,58.780574,0.392000,0.420000,32.608917,0.230769,0.384615,16.217170,0.340000,0.377500,101.484513,0.319672,0.327869,17.563653,0.772000,1.244000,36.878652,
0.166667,0.500000,12.319436,0.333333,0.444444,14.795397,0.384615,0.384615,17.860442,0.000000,0.000000,11.424969,0.500000,0.684211,13.268104,0.000000,0.037037,16.378680,0.006369,0.019108,19.134397,0.452000,0.476000,34.625994,0.000000,0.000000,102.046455,0.466667,0.666667,12.034384,0.040000,0.093333,16.737976,0.342391,0.429348,58.946884,0.416000,0.444000,32.367456,0.153846,0.192308,16.163366,0.307500,0.397500,99.789105,0.295082,0.303279,16.926896,0.708000,1.220000,38.251230,
0.166667,0.000000,12.885564,0.333333,0.333333,13.260490,0.461538,0.538462,16.615164,0.384615,0.153846,12.518002,0.421053,0.657895,13.578373,0.092593,0.055556,19.390949,0.019108,0.025478,18.884218,0.400000,0.440000,34.369587,0.004630,0.009259,101.147259,0.400000,0.600000,12.739101,0.053333,0.053333,14.424855,0.331522,0.385870,58.930916,0.352000,0.372000,31.947564,0.153846,0.250000,16.207502,0.342500,0.420000,101.947703,0.286885,0.286885,17.518396,0.768000,1.412000,37.899891,
0.333333,0.333333,12.795410,0.333333,0.222222,16.044920,0.384615,0.307692,14.344069,0.307692,0.307692,13.575225,0.447368,0.578947,14.468018,0.037037,0.037037,15.655849,0.012739,0.012739,19.136952,0.408000,0.400000,33.892360,0.002315,0.002315,101.161849,0.400000,0.600000,12.826083,0.040000,0.093333,14.403825,0.353261,0.380435,58.652109,0.324000,0.356000,31.601156,0.307692,0.442308,16.337756,0.340000,0.390000,100.300135,0.278689,0.286885,17.554820,0.736000,1.252000,37.834158,
0.166667,0.500000,11.009014,0.222222,0.333333,18.117222,0.307692,0.692308,13.786704,0.230769,0.230769,12.848153,0.473684,0.578947,14.098930,0.074074,0.037037,17.219271,0.031847,0.031847,19.123647,0.428000,0.448000,35.352974,0.011574,0.016204,100.728288,0.466667,0.666667,12.832864,0.053333,0.053333,15.798315,0.364130,0.402174,58.735514,0.316000,0.364000,32.627566,0.230769,0.288462,16.218181,0.352500,0.392500,99.194865,0.213115,0.245902,17.629429,0.680000,1.124000,37.502373,
0.166667,0.500000,11.279094,0.333333,0.111111,16.582058,0.307692,0.384615,14.656205,0.153846,0.153846,15.343417,0.447368,0.552632,15.515584,0.037037,0.018519,18.430589,0.038217,0.038217,19.119913,0.396000,0.392000,36.141439,0.006944,0.006944,101.645853,0.466667,0.666667,13.194359,0.026667,0.066667,18.759410,0.375000,0.423913,58.123800,0.364000,0.384000,33.488399,0.211538,0.250000,16.164974,0.357500,0.400000,104.717449,0.262295,0.319672,17.408228,0.752000,1.332000,39.094956,
0.333333,0.666667,11.573817,0.222222,0.222222,13.562411,0.461538,0.461538,11.405108,0.538462,0.615385,12.171703,0.342105,0.473684,14.487922,0.018519,0.037037,15.246257,0.019108,0.019108,19.491162,0.376000,0.384000,41.863522,0.006944,0.006944,101.160185,0.466667,0.666667,12.396161,0.080000,0.080000,13.127845,0.342391,0.385870,59.946079,0.380000,0.416000,33.217198,0.153846,0.269231,16.193520,0.330000,0.400000,97.612451,0.352459,0.319672,17.665133,0.724000,1.272000,37.824299,
0.000000,0.333333,11.565569,0.333333,0.333333,10.774948,0.307692,0.384615,12.083387,0.153846,0.153846,12.238825,0.500000,0.500000,14.808045,0.074074,0.074074,15.516740,0.012739,0.012739,19.408957,0.488000,0.488000,36.406096,0.016204,0.020833,101.372866,0.466667,0.600000,12.851186,0.040000,0.026667,13.052697,0.440217,0.483696,58.725271,0.344000,0.372000,33.314164,0.307692,0.596154,16.159691,0.350000,0.377500,101.935130,0.229508,0.245902,17.608677,0.728000,1.224000,37.273112,
0.333333,0.666667,11.308654,0.000000,0.000000,12.047192,0.384615,0.307692,11.464020,0.153846,0.000000,15.350603,0.394737,0.447368,13.700131,0.055556,0.074074,13.691475,0.031847,0.050955,19.387130,0.400000,0.416000,40.858130,0.002315,0.002315,101.238612,0.400000,0.600000,12.274487,0.080000,0.040000,18.890810,0.358696,0.396739,58.905946,0.344000,0.404000,31.997491,0.307692,0.461538,16.104834,0.372500,0.397500,109.114016,0.352459,0.352459,17.574979,0.752000,1.288000,37.559004,
0.333333,0.666667,11.103672,0.555556,0.555556,17.117368,0.384615,0.384615,11.471615,0.153846,0.153846,12.617031,0.421053,0.500000,13.262341,0.037037,0.018519,15.720242,0.038217,0.012739,19.943298,0.448000,0.424000,33.182836,0.004630,0.009259,101.255418,0.400000,0.600000,12.888096,0.026667,0.026667,13.059170,0.380435,0.461957,59.877117,0.404000,0.448000,31.856233,0.230769,0.403846,16.210632,0.312500,0.430000,106.651254,0.311475,0.352459,17.698506,0.752000,1.376000,37.792694,
0.500000,0.833333,11.094113,0.444444,0.444444,14.562166,0.307692,0.307692,13.678977,0.076923,0.076923,12.088671,0.421053,0.631579,14.253248,0.037037,0.037037,15.256505,0.012739,0.012739,19.032093,0.500000,0.528000,33.067704,0.002315,0.004630,103.323488,0.400000,0.600000,12.986237,0.040000,0.040000,17.239962,0.336957,0.364130,58.787223,0.384000,0.396000,32.746874,0.326923,0.519231,15.757788,0.322500,0.362500,103.308168,0.262295,0.270492,17.401512,0.704000,1.220000,37.744752,
0.333333,0.333333,11.111077,0.222222,0.222222,11.580077,0.230769,0.230769,11.819344,0.230769,0.307692,12.404798,0.342105,0.500000,14.176169,0.037037,0.055556,14.267838,0.019108,0.031847,19.346703,0.364000,0.372000,35.837513,0.002315,0.004630,103.086856,0.400000,0.733333,12.011875,0.040000,0.040000,16.815597,0.385870,0.423913,59.005437,0.360000,0.388000,32.922955,0.192308,0.365385,15.722190,0.362500,0.387500,99.008194,0.352459,0.344262,17.257471,0.768000,1.240000,37.497066,
0.333333,0.500000,11.263364,0.333333,0.222222,11.138986,0.384615,0.384615,13.087499,0.307692,0.384615,12.666975,0.500000,0.421053,14.148465,0.037037,0.018519,14.753635,0.038217,0.038217,19.100461,0.380000,0.432000,33.419827,0.002315,0.004630,104.152671,0.400000,0.933333,12.199443,0.053333,0.053333,13.342346,0.336957,0.461957,58.442967,0.344000,0.380000,31.761198,0.307692,0.269231,15.662651,0.362500,0.400000,98.453874,0.295082,0.311475,17.526587,0.712000,1.272000,38.302814,
0.166667,0.500000,11.433960,0.111111,0.111111,13.539005,0.538462,0.461538,11.188557,0.230769,0.230769,14.312531,0.447368,0.552632,13.603169,0.037037,0.037037,16.228402,0.038217,0.057325,20.207371,0.392000,0.412000,35.277382,0.011574,0.011574,103.741817,0.333333,0.533333,12.300363,0.026667,0.026667,12.606730,0.342391,0.358696,58.583993,0.372000,0.408000,33.046909,0.307692,0.326923,15.612591,0.392500,0.452500,98.223069,0.295082,0.311475,17.110666,0.740000,1.356000,38.536230,
0.333333,0.666667,11.606298,0.111111,0.111111,16.673568,0.230769,0.230769,10.917556,0.153846,0.230769,11.917291,0.473684,0.394737,12.149764,0.037037,0.037037,15.573433,0.031847,0.031847,19.416769,0.440000,0.492000,34.744428,0.000000,0.000000,103.258515,0.466667,0.733333,12.280521,0.080000,0.080000,14.323641,0.309783,0.434783,59.045584,0.332000,0.364000,31.233173,0.307692,0.365385,15.703497,0.350000,0.420000,101.507039,0.319672,0.270492,17.376369,0.728000,1.144000,37.809333,
0.000000,0.666667,11.508222,0.333333,0.333333,13.213138,0.307692,0.307692,14.417186,0.230769,0.230769,12.105726,0.447368,0.605263,13.994901,0.092593,0.092593,16.668990,0.057325,0.050955,19.456298,0.408000,0.432000,36.282221,0.011574,0.011574,103.460130,0.466667,0.600000,12.770039,0.093333,0.080000,13.513478,0.380435,0.418478,58.890928,0.360000,0.396000,35.702359,0.307692,0.365385,15.316176,0.325000,0.420000,104.815253,0.311475,0.319672,17.795983,0.736000,1.272000,37.241142,
0.333333,0.666667,11.342214,0.444444,0.666667,17.330214,0.461538,0.615385,13.225803,0.076923,0.076923,12.458396,0.394737,0.500000,13.241218,0.000000,0.000000,21.484637,0.025478,0.025478,18.997209,0.368000,0.404000,35.879016,0.006944,0.009259,101.731028,0.400000,0.600000,12.737682,0.053333,0.053333,14.607371,0.364130,0.396739,59.144319,0.344000,0.368000,31.708935,0.326923,0.519231,16.121024,0.352500,0.422500,103.373519,0.344262,0.352459,16.568219,0.712000,1.280000,37.877205,
0.166667,0.500000,12.319441,0.222222,0.222222,16.257893,0.076923,0.230769,15.959744,0.384615,0.461538,11.596562,0.421053,0.526316,13.541256,0.018519,0.074074,16.909965,0.050955,0.038217,18.918671,0.432000,0.472000,32.582325,0.006944,0.006944,101.463274,0.400000,0.600000,12.534242,0.040000,0.066667,13.966043,0.369565,0.451087,58.686473,0.392000,0.412000,31.349220,0.250000,0.346154,16.150004,0.335000,0.380000,103.585547,0.278689,0.303279,17.493641,0.724000,1.304000,37.704169,
0.333333,0.500000,11.437374,0.333333,0.222222,14.173722,0.384615,0.384615,14.011350,0.307692,0.307692,11.913448,0.578947,0.815789,12.733803,0.074074,0.074074,14.222579,0.006369,0.006369,19.351750,0.432000,0.476000,32.996474,0.016204,0.018519,102.239904,0.466667,0.533333,12.225664,0.053333,0.053333,14.404905,0.342391,0.396739,58.808414,0.384000,0.440000,31.791292,0.192308,0.403846,16.250774,0.360000,0.420000,101.926623,0.352459,0.368852,16.813009,0.724000,1.272000,37.664501,
0.333333,0.833333,11.002851,0.333333,0.333333,17.556496,0.307692,0.384615,15.569422,0.153846,0.153846,13.820579,0.368421,0.473684,13.677023,0.055556,0.055556,17.541412,0.031847,0.038217,19.138261,0.404000,0.416000,34.175504,0.000000,0.000000,101.369823,0.400000,0.600000,12.655910,0.053333,0.040000,13.066080,0.375000,0.423913,58.999227,0.416000,0.476000,31.411533,0.211538,0.288462,16.311260,0.372500,0.425000,98.973374,0.278689,0.303279,16.866069,0.752000,1.252000,37.463466,
0.333333,0.666667,12.601987,0.444444,0.333333,19.267880,0.307692,0.076923,12.502345,0.076923,0.076923,14.605721,0.421053,0.684211,13.143388,0.000000,0.000000,19.709699,0.031847,0.031847,19.011809,0.420000,0.432000,36.475395,0.002315,0.002315,101.377931,0.400000,0.600000,11.990174,0.066667,0.066667,16.953530,0.423913,0.396739,59.109927,0.364000,0.408000,32.714229,0.192308,0.288462,16.238209,0.370000,0.415000,97.833484,0.360656,0.418033,16.901865,0.724000,1.256000,39.078490,
0.166667,0.333333,12.789387,0.222222,0.222222,15.100466,0.307692,0.230769,13.745916,0.230769,0.230769,15.691457,0.526316,0.605263,13.271022,0.018519,0.018519,14.813384,0.031847,0.031847,18.876660,0.440000,0.456000,34.945683,0.000000,0.000000,101.003711,0.400000,0.600000,12.834260,0.013333,0.013333,16.818409,0.385870,0.472826,58.873849,0.360000,0.384000,31.977551,0.326923,0.519231,16.231598,0.372500,0.417500,105.013433,0.295082,0.311475,17.347105,0.772000,1.368000,36.712239,
0.166667,0.166667,12.619006,0.222222,0.333333,19.339587,0.461538,0.538462,15.440985,0.384615,0.307692,13.580065,0.500000,0.684211,13.489076,0.000000,0.000000,14.654069,0.019108,0.038217,18.991907,0.464000,0.460000,35.996426,0.009259,0.011574,101.197436,0.400000,0.600000,12.884606,0.053333,0.053333,16.088401,0.347826,0.445652,58.916994,0.348000,0.392000,31.932362,0.192308,0.269231,16.181043,0.327500,0.415000,104.325155,0.278689,0.303279,17.506473,0.696000,1.300000,36.880070,
0.333333,0.500000,12.729743,0.333333,0.222222,14.388946,0.307692,0.307692,14.907049,0.076923,0.076923,12.712993,0.421053,0.473684,13.519667,0.000000,0.000000,18.522762,0.006369,0.006369,19.210589,0.480000,0.456000,32.721045,0.002315,0.002315,101.140174,0.466667,0.533333,12.219500,0.053333,0.053333,13.693417,0.364130,0.407609,58.838785,0.388000,0.428000,31.460309,0.250000,0.384615,16.105215,0.357500,0.422500,102.847301,0.319672,0.352459,17.499275,0.708000,1.340000,36.977656,
0.500000,0.833333,12.699585,0.444444,0.444444,14.580802,0.461538,0.307692,13.747479,0.153846,0.230769,12.543931,0.394737,0.447368,13.402445,0.037037,0.018519,13.994567,0.050955,0.057325,18.817291,0.444000,0.448000,32.729884,0.009259,0.009259,101.215902,0.400000,0.866667,11.616177,0.053333,0.026667,16.610528,0.364130,0.358696,59.481323,0.376000,0.396000,31.409150,0.250000,0.461538,16.118345,0.367500,0.470000,102.815152,0.352459,0.368852,17.559639,0.764000,1.368000,37.110215,
0.166667,0.166667,11.008507,0.444444,0.444444,15.462521,0.384615,0.307692,13.886767,0.230769,0.230769,13.165735,0.500000,0.657895,13.432307,0.018519,0.018519,21.813155,0.031847,0.031847,18.921151,0.424000,0.444000,34.676646,0.011574,0.011574,100.997913,0.466667,0.733333,12.487705,0.106667,0.053333,14.839863,0.364130,0.402174,59.520571,0.380000,0.416000,32.121350,0.307692,0.384615,16.174496,0.337500,0.415000,99.773139,0.319672,0.336066,17.745335,0.736000,1.268000,37.421601,
0.500000,0.833333,12.738526,0.444444,0.444444,19.343787,0.461538,0.538462,14.888430,0.076923,0.076923,12.904612,0.421053,0.473684,14.727409,0.037037,0.037037,14.881056,0.044586,0.031847,19.315583,0.448000,0.488000,32.819295,0.009259,0.013889,101.261134,0.466667,0.733333,12.464000,0.013333,0.013333,17.407736,0.304348,0.336957,59.493935,0.392000,0.408000,32.110368,0.211538,0.269231,16.350377,0.395000,0.427500,97.836487,0.344262,0.377049,17.586592,0.728000,1.252000,37.525733,
0.333333,0.166667,12.312194,0.333333,0.333333,15.400249,0.461538,0.461538,13.878219,0.384615,0.384615,15.349270,0.315789,0.342105,14.438728,0.037037,0.037037,17.368107,0.019108,0.019108,18.957964,0.420000,0.432000,33.960178,0.000000,0.000000,100.906914,0.533333,0.600000,12.162434,0.026667,0.026667,12.386336,0.336957,0.385870,58.672250,0.364000,0.396000,31.897868,0.192308,0.365385,16.267229,0.327500,0.422500,106.088965,0.327869,0.311475,17.342959,0.756000,1.320000,37.629960,
0.333333,0.666667,12.132887,0.222222,0.222222,12.246605,0.384615,0.307692,16.005333,0.307692,0.153846,12.029233,0.500000,0.526316,14.047589,0.018519,0.018519,15.485852,0.012739,0.019108,19.143184,0.428000,0.452000,32.584098,0.004630,0.004630,100.842207,0.466667,0.733333,11.391567,0.013333,0.013333,13.043608,0.369565,0.423913,58.521346,0.368000,0.404000,32.653067,0.192308,0.269231,16.356792,0.357500,0.437500,103.636510,0.327869,0.344262,17.868509,0.740000,1.324000,37.196170,
