,pyrim,,,machine,,,housing,,,stock,,,abalone,,,pyrim10,,,machine10,,,housing10,,,stock10,,,abalone10,,,bank1-10,,,bank1-5,,,bank2-10,,,bank2-5,,,calhousing-10,,,calhousing-5,,,census1-10,,,census1-5,,,census2-10,,,census2-5,,,computer1-10,,,computer1-5,,,computer2-10,,,computer2-5
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.416667,0.541667,1.141216,0.389831,0.440678,7.120432,0.281553,0.291262,25.994447,0.111429,0.111429,72.165455,0.533522,0.661945,1045.074121,0.875000,1.708333,2.557303,0.694915,0.983051,27.492762,0.538835,0.742718,72.500524,0.260000,0.265714,265.287801,0.719547,1.331445,3195.534163,0.493736,0.558217,1.165492,0.317858,0.324982,0.895870,0.810028,2.018357,2.363947,0.630036,0.960330,1.461427,0.696730,1.218204,14.941580,0.488970,0.598097,8.395394,0.768942,1.495820,38.484627,0.562298,0.708523,8.765213,0.774973,1.449035,19.375190,0.546493,0.721041,9.721264,0.592066,0.884948,7.075323,0.392486,0.419427,2.127237,0.549275,0.788769,5.625565,0.326144,0.361721,2.930212,
0.416667,0.541667,1.057750,0.457627,0.508475,7.855654,0.310680,0.364078,21.697558,0.111429,0.085714,86.571201,0.524709,0.669185,2130.050477,0.750000,1.416667,2.173474,0.711864,1.220339,24.626378,0.533981,0.825243,69.810023,0.254286,0.254286,263.726738,0.734970,1.396286,2634.716497,0.472857,0.624908,1.147110,0.338369,0.342545,0.862123,0.807688,1.720217,2.481246,0.649624,0.901934,1.512878,0.709956,1.295315,17.947979,0.494192,0.626696,8.713859,0.759609,1.606882,20.701498,0.550489,0.698837,9.722672,0.759476,1.517402,40.355813,0.540693,0.691286,9.581372,0.616782,0.935739,4.146511,0.514088,0.614063,2.517611,0.542705,0.779100,5.249366,0.349448,0.379571,3.470367,
0.500000,0.666667,0.930579,0.440678,0.440678,8.875009,0.266990,0.281553,23.661268,0.100000,0.100000,92.745385,0.530689,0.652502,1006.668854,0.833333,1.500000,6.158630,0.661017,0.830508,25.484543,0.490291,0.752427,66.348856,0.205714,0.211429,253.649670,0.729619,1.367957,3080.055244,0.503193,0.570130,1.110097,0.282977,0.286539,0.841937,0.787976,1.797709,2.511630,0.607490,0.828262,1.483502,0.726794,1.208492,15.493744,0.490825,0.582333,8.118686,0.749525,1.512760,19.645624,0.537618,0.718785,9.478041,0.770900,1.440046,21.900261,0.538833,0.712850,9.812232,0.590460,0.878893,7.167166,0.378028,0.419921,4.139348,0.532168,0.757531,5.411050,0.335193,0.369282,3.158429,
0.500000,0.708333,0.958432,0.457627,0.694915,8.244604,0.330097,0.368932,23.180871,0.088571,0.088571,70.606458,0.516210,0.654076,980.693118,0.750000,1.416667,2.199461,0.694915,0.983051,21.665069,0.538835,0.786408,164.614778,0.211429,0.214286,321.759532,0.730249,1.354108,2791.269089,0.500983,0.580693,1.198781,0.277327,0.278433,0.879850,0.821363,1.780091,2.377094,0.616361,0.876309,1.567019,0.720595,1.264812,16.821721,0.490386,0.596974,8.084837,0.751338,1.515237,20.804364,0.541775,0.765890,9.702423,0.753409,1.453463,23.433382,0.559068,0.697086,10.848816,0.592437,0.869006,4.123772,0.379263,0.427830,2.442301,0.564150,0.757283,5.493900,0.331970,0.358622,2.952347,
0.666667,0.791667,0.957453,0.440678,0.474576,7.476894,0.330097,0.354369,22.849236,0.091429,0.091429,86.938018,0.522506,0.659427,1019.080488,0.750000,1.458333,2.196866,0.610169,1.101695,23.336622,0.567961,0.893204,61.860252,0.237143,0.248571,578.447570,0.741895,1.349386,3069.722625,0.485384,0.602186,1.112065,0.287644,0.291083,0.885797,0.801651,1.773685,2.478294,0.672662,1.089935,1.451680,0.719571,1.212103,20.210658,0.492191,0.601415,7.351477,0.740059,1.464373,21.565333,0.550046,0.737096,9.452948,0.758324,1.453728,22.542017,0.552117,0.720997,9.395348,0.587988,0.872837,3.785467,0.366658,0.408552,2.450675,0.522623,0.764720,10.264485,0.322797,0.378084,4.951961,
0.625000,0.750000,0.922011,0.491525,0.576271,7.781365,0.315534,0.359223,23.043675,0.128571,0.100000,73.403076,0.517155,0.649669,2213.532455,0.708333,1.125000,2.437334,0.610169,0.881356,31.210024,0.601942,0.815534,67.098040,0.257143,0.265714,644.837358,0.736859,1.368901,3068.801264,0.509703,0.590395,1.155776,0.300295,0.303488,0.849893,0.808304,1.924726,2.482758,0.678329,0.931871,1.510987,0.687945,1.190971,18.185503,0.505954,0.584968,8.355196,0.766686,1.470742,20.174892,0.545358,0.710248,10.048172,0.759786,1.517269,45.345862,0.613487,0.787416,10.152851,0.620119,0.934627,3.752965,0.393846,0.447108,2.261197,0.584852,0.712780,6.032916,0.339036,0.374365,2.984571,
0.583333,0.625000,0.975094,0.423729,0.440678,10.291800,0.305825,0.364078,22.736701,0.105714,0.105714,70.007988,0.520932,0.643689,2410.355658,0.916667,1.333333,2.311368,0.627119,0.830508,65.917320,0.533981,0.776699,86.659689,0.265714,0.274286,599.563818,0.719232,1.355367,3437.654288,0.472243,0.520020,1.113818,0.279661,0.283100,0.877319,0.852039,2.010225,2.465121,0.651719,0.933843,1.530762,0.693460,1.310639,16.949689,0.491069,0.568228,7.899152,0.739307,1.491397,39.184886,0.574152,0.723694,9.785536,0.746236,1.470156,18.984541,0.547689,0.730030,9.720728,0.638655,0.908428,8.313528,0.379758,0.425606,2.408598,0.529441,0.745011,5.575195,0.338168,0.384777,3.057251,
0.500000,0.666667,0.961182,0.355932,0.406780,10.915160,0.320388,0.354369,23.705287,0.108571,0.108571,75.252454,0.517469,0.645578,2387.835702,0.625000,1.333333,2.239460,0.559322,0.847458,28.321236,0.543689,0.669903,68.549371,0.217143,0.220000,609.901564,0.736859,1.375197,2919.010661,0.515352,0.635348,1.130669,0.266151,0.269590,0.872377,0.803992,1.705187,2.530924,0.663299,0.886904,1.535999,0.685700,1.218936,17.515163,0.487555,0.620937,8.095385,0.745411,1.445265,21.030584,0.563139,0.710071,9.859763,0.740347,1.513594,18.408343,0.552294,0.782855,9.099977,0.651261,0.921651,4.123048,0.411394,0.451186,2.472374,0.523987,0.705839,6.291736,0.318830,0.353539,3.190326,
0.500000,0.666667,0.969593,0.406780,0.423729,7.498815,0.339806,0.305825,23.175179,0.117143,0.117143,84.758550,0.533837,0.672332,921.053758,0.541667,0.958333,2.541181,0.627119,0.915254,34.591370,0.577670,0.786408,70.649111,0.234286,0.242857,244.940689,0.740321,1.337740,3051.538868,0.466470,0.518546,1.204503,0.246131,0.248833,0.859338,0.782802,1.732044,2.512680,0.635826,0.919552,1.449702,0.683699,1.231284,17.201024,0.493655,0.594729,8.632658,0.786236,1.531956,22.000955,0.569729,0.751117,9.920102,0.743048,1.499380,19.943952,0.550965,0.696068,17.073942,0.650519,0.883836,4.264899,0.395082,0.452546,2.369795,0.539730,0.744763,5.957614,0.344490,0.377836,3.288098,
0.375000,0.416667,1.011676,0.338983,0.355932,8.819540,0.349515,0.383495,21.753618,0.148571,0.148571,91.266668,0.520302,0.652817,1175.251948,0.625000,1.208333,2.355224,0.593220,0.881356,27.001603,0.538835,0.718447,71.023040,0.245714,0.245714,252.660811,0.729934,1.355367,3167.862182,0.500614,0.585237,1.081503,0.247973,0.252518,0.870504,0.831218,1.961439,2.431133,0.617223,0.806086,1.464988,0.722255,1.240654,17.916722,0.503416,0.595266,7.429996,0.735282,1.445973,21.969816,0.546773,0.712415,9.754015,0.745262,1.534272,21.541933,0.540604,0.718872,9.787144,0.607637,0.953040,4.278124,0.385690,0.444390,2.530607,0.529689,0.751704,5.667632,0.312756,0.359861,3.287237,
0.458333,0.541667,0.890032,0.372881,0.372881,9.840704,0.330097,0.364078,30.665198,0.120000,0.120000,72.224164,0.526912,0.655650,2194.894183,0.666667,1.625000,5.421929,0.661017,0.881356,27.017240,0.529126,0.699029,69.349596,0.217143,0.225714,266.703777,0.738118,1.371105,3331.259691,0.548882,0.599361,1.171769,0.262343,0.302874,0.882205,0.794013,1.747320,2.432041,0.644696,1.001478,1.603522,0.708394,1.203807,16.156590,0.489263,0.570522,7.443012,0.750188,1.492105,20.344531,0.552568,0.707329,9.295236,0.771121,1.533918,40.363314,0.552515,0.719580,9.340102,0.608873,0.887420,4.376991,0.414854,0.480722,2.608888,0.588943,0.905789,5.940512,0.358374,0.387009,3.054608,
0.500000,0.583333,0.907290,0.474576,0.457627,7.117601,0.330097,0.354369,24.658360,0.094286,0.091429,89.453214,0.540762,0.652502,2308.048247,0.708333,1.125000,2.377616,0.627119,0.847458,29.886659,0.553398,0.703883,66.999103,0.245714,0.251429,268.876100,0.723009,1.374882,2962.678174,0.458118,0.526898,1.096367,0.261852,0.266396,0.864166,0.814094,1.787360,2.437347,0.688185,1.020081,1.469197,0.702635,1.265593,15.174041,0.514397,0.602831,8.127038,0.774603,1.484984,20.700364,0.553143,0.747180,8.999461,0.756686,1.499867,35.898773,0.551984,0.711699,10.197144,0.628398,0.930054,3.788270,0.407439,0.437840,2.498217,0.530185,0.777241,10.158248,0.336928,0.379447,5.426691,
0.500000,0.500000,0.974122,0.593220,0.644068,7.902576,0.305825,0.378641,33.982877,0.120000,0.120000,83.167967,0.509600,0.645892,2270.422307,0.750000,1.416667,2.150161,0.593220,0.762712,24.708787,0.611650,0.825243,172.793855,0.228571,0.245714,321.477014,0.732452,1.340573,3134.760375,0.472120,0.551462,1.144465,0.281749,0.284942,0.828492,0.787853,1.747320,2.401154,0.628188,0.929900,1.485808,0.710835,1.224451,16.684522,0.498682,0.612884,8.689707,0.749126,1.469724,46.612515,0.548366,0.714317,10.047646,0.768951,1.588691,24.050818,0.539497,0.704570,27.232008,0.634825,0.948838,8.605257,0.379387,0.430672,2.345682,0.559812,0.710053,5.696928,0.359489,0.396926,2.937632,
0.500000,0.791667,0.948548,0.406780,0.457627,8.662285,0.330097,0.349515,23.607086,0.111429,0.114286,87.614201,0.519043,0.634561,2216.841101,0.625000,1.166667,2.871982,0.677966,0.915254,28.387577,0.563107,0.723301,92.361658,0.214286,0.217143,565.704428,0.730249,1.359773,3041.741692,0.518177,0.580693,1.108879,0.248342,0.250553,0.851678,0.821732,1.929038,2.418165,0.651226,0.946655,1.590473,0.727282,1.307662,19.052563,0.514446,0.611762,7.616848,0.771595,1.510018,18.471664,0.562342,0.750984,9.663310,0.764391,1.542729,19.798880,0.570758,0.711521,9.700218,0.594291,0.889644,7.728343,0.383589,0.444019,2.379678,0.520144,0.761993,5.298369,0.366679,0.374985,2.774696,
0.541667,0.833333,1.080661,0.355932,0.305085,9.383540,0.368932,0.393204,23.814044,0.128571,0.131429,84.721148,0.519358,0.660686,989.545417,0.666667,1.458333,2.407796,0.508475,0.694915,26.850947,0.572816,0.796117,69.664079,0.200000,0.202857,579.869766,0.747561,1.384325,2783.381869,0.491648,0.584377,1.108084,0.264923,0.261606,0.902227,0.827030,2.154614,2.327707,0.631145,0.913022,1.514165,0.723280,1.304246,14.802271,0.497657,0.582284,8.482367,0.741430,1.505462,19.499651,0.548410,0.754699,28.010863,0.763062,1.447441,23.947288,0.566861,0.732731,10.363876,0.596762,0.844785,4.231482,0.415225,0.491226,2.321906,0.532044,0.748234,6.284969,0.329862,0.358126,9.290743,
0.541667,0.625000,1.071600,0.322034,0.322034,7.586001,0.291262,0.334951,30.065564,0.120000,0.120000,71.257429,0.525338,0.644948,2108.578360,0.833333,1.625000,5.431056,0.576271,0.796610,27.179862,0.572816,0.781553,71.607327,0.251429,0.268571,620.506770,0.736544,1.361347,2836.205244,0.496315,0.580938,1.170961,0.248465,0.249693,0.855327,0.809166,1.923863,2.416497,0.648392,0.869040,1.490931,0.707272,1.258712,16.115416,0.519082,0.625378,8.501250,0.771286,1.532752,22.978822,0.550489,0.725286,8.775591,0.773202,1.542641,21.353659,0.553888,0.717543,9.932992,0.600346,0.881241,4.105075,0.380746,0.426718,3.528926,0.581877,0.723565,11.579229,0.354779,0.391471,5.006314,
0.291667,0.541667,0.998009,0.372881,0.423729,8.541862,0.325243,0.344660,23.086282,0.111429,0.111429,91.445495,0.519358,0.648096,2146.010978,0.833333,1.500000,2.459860,0.627119,0.949153,30.943869,0.572816,0.830097,177.993872,0.225714,0.234286,576.457869,0.728675,1.350645,3547.861736,0.493859,0.568042,1.183974,0.331123,0.337632,0.858773,0.813231,1.974744,2.543187,0.662437,0.865344,1.594885,0.706198,1.285212,17.015675,0.517862,0.629380,7.650558,0.752223,1.518599,20.267833,0.577248,0.761157,9.084905,0.745705,1.451470,22.184830,0.546626,0.684555,10.685048,0.563890,0.846515,4.170130,0.399778,0.479609,3.642798,0.540226,0.723937,5.212214,0.334077,0.366059,3.057878,
0.541667,0.625000,1.040646,0.389831,0.338983,9.283698,0.344660,0.407767,24.739474,0.108571,0.094286,83.047688,0.519043,0.641486,2408.086211,0.708333,1.500000,2.526652,0.711864,1.220339,25.753397,0.601942,0.713592,64.766521,0.268571,0.271429,256.987757,0.748190,1.395971,2862.242210,0.496561,0.585974,1.172127,0.258782,0.260624,0.839575,0.793889,1.865591,2.436286,0.632376,0.946409,1.613938,0.721523,1.317326,18.464445,0.503221,0.585505,7.663624,0.757176,1.605511,21.287088,0.552479,0.729444,9.979659,0.755535,1.485166,20.364441,0.566861,0.706252,9.553148,0.588359,0.889026,4.231977,0.402126,0.456747,2.319689,0.549895,0.860791,6.382669,0.333085,0.362588,3.176576,
0.625000,0.666667,0.939803,0.338983,0.355932,7.403020,0.349515,0.388350,23.718712,0.108571,0.111429,74.510792,0.521876,0.651873,912.651621,0.750000,1.375000,2.563655,0.576271,0.881356,31.247920,0.538835,0.825243,66.290701,0.214286,0.217143,241.403710,0.730249,1.376456,3390.593660,0.488578,0.562270,1.100257,0.280275,0.282363,0.883064,0.817297,2.000862,2.382980,0.689540,0.964149,1.532584,0.680137,1.212640,17.198333,0.482235,0.581698,8.567952,0.758238,1.528727,23.066977,0.548366,0.717413,11.012991,0.753897,1.450097,19.325417,0.554552,0.713691,10.004603,0.578596,0.870737,4.226359,0.383712,0.438705,2.445421,0.563530,0.772654,11.044829,0.339531,0.388124,8.143771,
0.375000,0.500000,1.039523,0.491525,0.389831,7.919323,0.373786,0.407767,21.176207,0.120000,0.120000,88.055832,0.539503,0.665408,2349.450853,0.791667,1.458333,2.525791,0.627119,0.949153,24.531766,0.563107,0.791262,70.506570,0.217143,0.225714,255.870466,0.722380,1.355052,3531.397979,0.489315,0.568411,1.179905,0.233358,0.235569,0.884956,0.843785,1.994086,2.447806,0.622644,0.905753,1.554857,0.713812,1.297609,17.030032,0.503319,0.603709,8.076971,0.742492,1.496616,19.627549,0.575744,0.752001,28.083352,0.782147,1.562079,19.516595,0.559378,0.739240,9.552756,0.606031,0.938087,8.838750,0.372343,0.416214,2.438857,0.534771,0.766828,5.748119,0.322177,0.350812,3.072351,
